MEMBER;PRODUCT ID;MEMBER_PRODUCT_ID;NAME_DEFAULT;UPLOAD THIS BRAND;PRIMARY_CATEGORY_ID
COLORADO;10011-0000-9031;a128Z00000YDmSxQAL;Adrianna Papell Womens Multicol or Floral Sleeveless V Neck Blouse Top Size 8;Adrianna Papell;womens-tops-blouses-sleeveless
COLORADO;10011-0000-4757;a128Z00000YDSrfQAH;Adrienne Vittadini Women's Blac k Kitten Heel Slingback Pumps Size 8.5M;Adrienne Landau;womens-shoes-heels
MILWAUKEE;10013-0000-18960;a128X00000CYFSRQA5;Adrienne Vittadini Green Boat N eck Blouse Womens SZ XS;Adrienne Landau;womens-tops-blouses-long-sleeve
SEATTLE;10012-0000-47397;a128X00000DLgrzQAD;Adrienne Vittadini White Top WM N Sz M;Adrienne Vittadini;womens-tops-blouses-sleeveless
SEATTLE;10012-0000-16131;a128X00000DSk25QAD;Adrienne Vittadini Black White Polka Dot Mules Sz 6;Adrienne Vittadini;womens-shoes-heels
MILWAUKEE;10013-0000-65343;a128X00000B8zGGQAZ;Aeropostale Tan Slim Straight K haki Pants Men's Size 34/34;Aeropostale;mens-bottoms-khakis-chinos
MILWAUKEE;10013-0000-16043;a128X00000CYBspQAH;#NOM?;Aeropostale;womens-activewear-tops
MILWAUKEE;10013-0000-13687;a128X00000CY94iQAD;Aeropostale Women's Black Flora l Mini Sun Dress Size Small;Aeropostale;womens-dresses-mini
MILWAUKEE;10013-0000-60590;a128X00000B8tisQAB;Aeropostale Super High Rise Dis tressed Jeggings Women's Size 12;Aeropostale;womens-jeans-jeggings
MILWAUKEE;10013-0000-118125;a128X00000EIFIWQA5;Aeropostale Womens High Rise Je gging Size 4L;Aeropostale;womens-jeans-jeggings
MILWAUKEE;10013-0000-15661;a128X00000CYBPYQA5;Aeropostale Blue Floral Blouse Women's Size S;Aeropostale;womens-tops-blouses-blouses
MILWAUKEE;10013-0000-21972;a128X00000CYInwQAH;Aero Postal Women's Flannel Shi rt Size Small/Petite;Aeropostale;womens-tops-blouses-button-ups
MILWAUKEE;10013-0000-17339;a128X00000CYDSeQAP;Aeropostale Patterned Tank Top Size S/P;Aeropostale;womens-tops-blouses-sleeveless
SEATTLE;10012-0000-11451;a128X00000DSPoeQAH;Adriano Goldschmied Mens Beige Comfort Pockets Zipper Chino Pants Size 34x34;AG Jeans;mens-bottoms-khakis-chinos
SEATTLE;10012-0000-56704;a128X00000DMU9MQAX;Adrian Goldschmied Men's L Long Sleeve Button Down Shirt Grey White Stripe;AG Jeans;mens-tops-shirts-dress-shirts
SEATTLE;10012-0000-53234;a128X00000DMEoBQAX;Adriano Goldschmeid White 'Tris tan' Trousers WMN Sz 28R;AG Jeans;womens-bottoms-casual-pants
SEATTLE;10012-0000-60623;a128X00000DMoPBQA1;Adriano Goldschmied AG The Stil t Cigarette Leg 25R Women's Jean White;AG Jeans;womens-bottoms-casual-pants
SEATTLE;10012-0000-60706;a128X00000DMoiEQAT;Adriano Goldschmied AG Women's 27R Pink Jean Pant;AG Jeans;womens-bottoms-casual-pants
SEATTLE;10012-0000-112511;a128X00000Dch35QAB;Adriano Goldschmied The Farrah Hi-Rise Skinny Ankle Jeans Size 24 NWT;AG Jeans;womens-jeans-jeggings
SEATTLE;10012-0000-84180;a128X00000DOhTJQA1;Adriano Goldschmied The legging Ankle Black Jeans Size 26R;AG Jeans;womens-jeans-jeggings
SEATTLE;10012-0000-84838;a128X00000DOlBwQAL;Adriano Goldschmied The Stilt W omen's White Denim Pants Size 28R;AG Jeans;womens-jeans-jeggings
SEATTLE;10012-0000-54573;a128X00000DMJs1QAH;Adriano Goldschmeid Blue 'The L egging Ankle' Super Skinny Jeans WMN Sz 29R;AG Jeans;womens-jeans-straight-boyfriend
SEATTLE;10012-0000-53194;a128X00000DMEjzQAH;Adriano Goldschmeid Pink 'Prima ' Ankle Jeans WMN Sz 28R;AG Jeans;womens-jeans-straight-boyfriend
SEATTLE;10012-0000-54326;a128X00000DMJ7eQAH;Adriano Goldschmeid White 'Legg ing Ankle' Jeans WMN Sz 28R;AG Jeans;womens-jeans-straight-boyfriend
SEATTLE;10012-0000-58983;a128X00000DMfY9QAL;Adriano Goldschmied Ex-Boyfrien d Slim Women's Jeans Sz 26R NWT;AG Jeans;womens-jeans-straight-boyfriend
SEATTLE;10012-0000-69029;a128X00000DNYkVQAX;Adriano Goldschmied High Rise F arrah Skinny Ankle Size 26R Jeans;AG Jeans;womens-jeans-straight-boyfriend
SEATTLE;10012-0000-74670;a128X00000DNyUeQAL;Adriano Goldschmied Prima Ankle Women's Denim Jeans Size 27R;AG Jeans;womens-jeans-straight-boyfriend
SEATTLE;10012-0000-84180;a128X00000DOhTJQA1;Adriano Goldschmied The Legging Ankle Women's Jeans Sz 28R;AG Jeans;womens-jeans-straight-boyfriend
MILWAUKEE;10013-0000-65484;a128X00000B8zQaQAJ;New Men Adriano Goldschmied Siz e 32 Slim Straight Leg Jeans;AG Jeans;mens-bottoms-jeans-corduroys
COLORADO;10011-0000-68747;a128Z00000YP1NyQAL;Air Jordan 22 XXII Countdown Me n's Black Suede Sneakers Size 8.5;Air Jordan;mens-shoes-sneakers-athletic
COLORADO;10011-0000-217612;a128Z00000a02RiQAI;Air Jordan Olympia Olympic-10.5 ;Air Jordan;mens-shoes-sneakers-athletic
